ID;Kategorie;Bezug;Beschreibung;DoD;Status;Prio;Sprint;Owner
191;Unit-Test;Heatmap Drill-down;Unit-Tests für: Heatmap Drill-down;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
192;Integrationstest;Heatmap Drill-down;E2E: ETL→Feature/Signal→Report für: Heatmap Drill-down;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
193;Feature Implementierung;Top-Listen;Implementiere: Top-Listen;Code & Review;TODO;P1;Sprint 2;Owner
194;Unit-Test;Top-Listen;Unit-Tests für: Top-Listen;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
195;Integrationstest;Top-Listen;E2E: ETL→Feature/Signal→Report für: Top-Listen;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
196;Feature Implementierung;Guardrails Settings;Implementiere: Guardrails Settings;Code & Review;TODO;P2;Sprint 3;Owner
197;Unit-Test;Guardrails Settings;Unit-Tests für: Guardrails Settings;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
198;Integrationstest;Guardrails Settings;E2E: ETL→Feature/Signal→Report für: Guardrails Settings;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
199;Feature Implementierung;Warnbanner Fee-Gate;Implementiere: Warnbanner Fee-Gate;Code & Review;TODO;P2;Sprint 3;Owner
200;Unit-Test;Warnbanner Fee-Gate;Unit-Tests für: Warnbanner Fee-Gate;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
201;Integrationstest;Warnbanner Fee-Gate;E2E: ETL→Feature/Signal→Report für: Warnbanner Fee-Gate;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
202;Feature Implementierung;Journal Analytics;Implementiere: Journal Analytics;Code & Review;TODO;P1;Sprint 2;Owner
203;Unit-Test;Journal Analytics;Unit-Tests für: Journal Analytics;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
204;Integrationstest;Journal Analytics;E2E: ETL→Feature/Signal→Report für: Journal Analytics;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
205;Feature Implementierung;APScheduler;Implementiere: APScheduler;Code & Review;TODO;P0;Sprint 1;Owner
206;Unit-Test;APScheduler;Unit-Tests für: APScheduler;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
207;Integrationstest;APScheduler;E2E: ETL→Feature/Signal→Report für: APScheduler;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
208;Feature Implementierung;Idempotenz;Implementiere: Idempotenz;Code & Review;TODO;P0;Sprint 1;Owner
209;Unit-Test;Idempotenz;Unit-Tests für: Idempotenz;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
210;Integrationstest;Idempotenz;E2E: ETL→Feature/Signal→Report für: Idempotenz;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
211;Feature Implementierung;Logging;Implementiere: Logging;Code & Review;TODO;P2;Sprint 3;Owner
212;Unit-Test;Logging;Unit-Tests für: Logging;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
213;Integrationstest;Logging;E2E: ETL→Feature/Signal→Report für: Logging;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
214;Feature Implementierung;Self-Test-Seite;Implementiere: Self-Test-Seite;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
215;Unit-Test;Self-Test-Seite;Unit-Tests für: Self-Test-Seite;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
216;Integrationstest;Self-Test-Seite;E2E: ETL→Feature/Signal→Report für: Self-Test-Seite;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
217;Feature Implementierung;Ressourcen-Management;Implementiere: Ressourcen-Management;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
218;Unit-Test;Ressourcen-Management;Unit-Tests für: Ressourcen-Management;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
219;Integrationstest;Ressourcen-Management;E2E: ETL→Feature/Signal→Report für: Ressourcen-Management;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
220;Feature Implementierung;Secrets in .env;Implementiere: Secrets in .env;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
221;Unit-Test;Secrets in .env;Unit-Tests für: Secrets in .env;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
222;Integrationstest;Secrets in .env;E2E: ETL→Feature/Signal→Report für: Secrets in .env;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
223;Feature Implementierung;Rechtemodell;Implementiere: Rechtemodell;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
224;Unit-Test;Rechtemodell;Unit-Tests für: Rechtemodell;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
225;Integrationstest;Rechtemodell;E2E: ETL→Feature/Signal→Report für: Rechtemodell;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
226;Feature Implementierung;Disclaimer & Paper;Implementiere: Disclaimer & Paper;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
227;Unit-Test;Disclaimer & Paper;Unit-Tests für: Disclaimer & Paper;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
228;Integrationstest;Disclaimer & Paper;E2E: ETL→Feature/Signal→Report für: Disclaimer & Paper;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
229;Feature Implementierung;Konfig-Hash;Implementiere: Konfig-Hash;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
230;Unit-Test;Konfig-Hash;Unit-Tests für: Konfig-Hash;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
231;Integrationstest;Konfig-Hash;E2E: ETL→Feature/Signal→Report für: Konfig-Hash;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
232;Feature Implementierung;Aufbewahrung;Implementiere: Aufbewahrung;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
233;Unit-Test;Aufbewahrung;Unit-Tests für: Aufbewahrung;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
234;Integrationstest;Aufbewahrung;E2E: ETL→Feature/Signal→Report für: Aufbewahrung;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
235;Feature Implementierung;Unit-Tests;Implementiere: Unit-Tests;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
236;Unit-Test;Unit-Tests;Unit-Tests für: Unit-Tests;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
237;Integrationstest;Unit-Tests;E2E: ETL→Feature/Signal→Report für: Unit-Tests;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
238;Feature Implementierung;Integration/Load/Edge;Implementiere: Integration/Load/Edge;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
239;Unit-Test;Integration/Load/Edge;Unit-Tests für: Integration/Load/Edge;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
240;Integrationstest;Integration/Load/Edge;E2E: ETL→Feature/Signal→Report für: Integration/Load/Edge;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
241;Docs/Config;Doku & Config #1;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P0;Sprint 1;Owner
242;Docs/Config;Doku & Config #2;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P0;Sprint 1;Owner
243;Docs/Config;Doku & Config #3;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P0;Sprint 1;Owner
244;Docs/Config;Doku & Config #4;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P0;Sprint 1;Owner
245;Docs/Config;Doku & Config #5;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P0;Sprint 1;Owner
246;Docs/Config;Doku & Config #6;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P0;Sprint 1;Owner
247;Docs/Config;Doku & Config #7;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P0;Sprint 1;Owner
248;Docs/Config;Doku & Config #8;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P0;Sprint 1;Owner
249;Docs/Config;Doku & Config #9;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P0;Sprint 1;Owner
250;Docs/Config;Doku & Config #10;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P0;Sprint 1;Owner
251;Docs/Config;Doku & Config #11;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P0;Sprint 1;Owner
252;Docs/Config;Doku & Config #12;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P0;Sprint 1;Owner
253;Docs/Config;Doku & Config #13;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P0;Sprint 1;Owner
254;Docs/Config;Doku & Config #14;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P0;Sprint 1;Owner
255;Docs/Config;Doku & Config #15;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P0;Sprint 1;Owner
256;Docs/Config;Doku & Config #16;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P1;Sprint 2;Owner
257;Docs/Config;Doku & Config #17;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P1;Sprint 2;Owner
258;Docs/Config;Doku & Config #18;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P1;Sprint 2;Owner
259;Docs/Config;Doku & Config #19;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P1;Sprint 2;Owner
260;Docs/Config;Doku & Config #20;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P1;Sprint 2;Owner
261;Docs/Config;Doku & Config #21;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P1;Sprint 2;Owner
262;Docs/Config;Doku & Config #22;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P1;Sprint 2;Owner
263;Docs/Config;Doku & Config #23;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P1;Sprint 2;Owner
264;Docs/Config;Doku & Config #24;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P1;Sprint 2;Owner
265;Docs/Config;Doku & Config #25;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P1;Sprint 2;Owner
266;Docs/Config;Doku & Config #26;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P2;Sprint 3;Owner
267;Docs/Config;Doku & Config #27;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P2;Sprint 3;Owner
268;Docs/Config;Doku & Config #28;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P2;Sprint 3;Owner
269;Docs/Config;Doku & Config #29;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P2;Sprint 3;Owner
270;Docs/Config;Doku & Config #30;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P2;Sprint 3;Owner
271;Docs/Config;Doku & Config #31;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P2;Sprint 3;Owner
272;Docs/Config;Doku & Config #32;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P2;Sprint 3;Owner
273;Docs/Config;Doku & Config #33;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P2;Sprint 3;Owner
274;Docs/Config;Doku & Config #34;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P2;Sprint 3;Owner
275;Docs/Config;Doku & Config #35;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P2;Sprint 3;Owner
276;Docs/Config;Doku & Config #36;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P3;Sprint 4+ / Backlog;Owner
277;Docs/Config;Doku & Config #37;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P3;Sprint 4+ / Backlog;Owner
278;Docs/Config;Doku & Config #38;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P3;Sprint 4+ / Backlog;Owner
279;Docs/Config;Doku & Config #39;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P3;Sprint 4+ / Backlog;Owner
280;Docs/Config;Doku & Config #40;Handbuch, Tooltips, config.yaml-Defaults;Review, Lesbarkeit;TODO;P3;Sprint 4+ / Backlog;Owner
281;UI/UX Polish;UI-Polish #1;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P0;Sprint 1;UI
282;UI/UX Polish;UI-Polish #2;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P0;Sprint 1;UI
283;UI/UX Polish;UI-Polish #3;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P0;Sprint 1;UI
284;UI/UX Polish;UI-Polish #4;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P0;Sprint 1;UI
285;UI/UX Polish;UI-Polish #5;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P0;Sprint 1;UI
286;UI/UX Polish;UI-Polish #6;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P0;Sprint 1;UI
287;UI/UX Polish;UI-Polish #7;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P0;Sprint 1;UI
288;UI/UX Polish;UI-Polish #8;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P0;Sprint 1;UI
289;UI/UX Polish;UI-Polish #9;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P0;Sprint 1;UI
290;UI/UX Polish;UI-Polish #10;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P0;Sprint 1;UI
291;UI/UX Polish;UI-Polish #11;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P1;Sprint 2;UI
292;UI/UX Polish;UI-Polish #12;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P1;Sprint 2;UI
293;UI/UX Polish;UI-Polish #13;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P1;Sprint 2;UI
294;UI/UX Polish;UI-Polish #14;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P1;Sprint 2;UI
295;UI/UX Polish;UI-Polish #15;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P1;Sprint 2;UI
296;UI/UX Polish;UI-Polish #16;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P1;Sprint 2;UI
297;UI/UX Polish;UI-Polish #17;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P1;Sprint 2;UI
298;UI/UX Polish;UI-Polish #18;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P1;Sprint 2;UI
299;UI/UX Polish;UI-Polish #19;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P1;Sprint 2;UI
300;UI/UX Polish;UI-Polish #20;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P1;Sprint 2;UI
301;UI/UX Polish;UI-Polish #21;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P2;Sprint 3;UI
302;UI/UX Polish;UI-Polish #22;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P2;Sprint 3;UI
303;UI/UX Polish;UI-Polish #23;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P2;Sprint 3;UI
304;UI/UX Polish;UI-Polish #24;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P2;Sprint 3;UI
305;UI/UX Polish;UI-Polish #25;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P2;Sprint 3;UI
306;UI/UX Polish;UI-Polish #26;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P2;Sprint 3;UI
307;UI/UX Polish;UI-Polish #27;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P3;Sprint 4+ / Backlog;UI
308;UI/UX Polish;UI-Polish #28;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P3;Sprint 4+ / Backlog;UI
309;UI/UX Polish;UI-Polish #29;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P3;Sprint 4+ / Backlog;UI
310;UI/UX Polish;UI-Polish #30;Dark-Theme, Badges, Layout, Tooltips;Visuell abgenommen;TODO;P3;Sprint 4+ / Backlog;UI
311;Orchestrierung/DevOps;Ops #1;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P0;Sprint 1;Infra
312;Orchestrierung/DevOps;Ops #2;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P0;Sprint 1;Infra
313;Orchestrierung/DevOps;Ops #3;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P0;Sprint 1;Infra
314;Orchestrierung/DevOps;Ops #4;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P0;Sprint 1;Infra
315;Orchestrierung/DevOps;Ops #5;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P0;Sprint 1;Infra
316;Orchestrierung/DevOps;Ops #6;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P0;Sprint 1;Infra
317;Orchestrierung/DevOps;Ops #7;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P0;Sprint 1;Infra
318;Orchestrierung/DevOps;Ops #8;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P0;Sprint 1;Infra
319;Orchestrierung/DevOps;Ops #9;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P0;Sprint 1;Infra
320;Orchestrierung/DevOps;Ops #10;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P0;Sprint 1;Infra
321;Orchestrierung/DevOps;Ops #11;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P1;Sprint 2;Infra
322;Orchestrierung/DevOps;Ops #12;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P1;Sprint 2;Infra
323;Orchestrierung/DevOps;Ops #13;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P1;Sprint 2;Infra
324;Orchestrierung/DevOps;Ops #14;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P1;Sprint 2;Infra
325;Orchestrierung/DevOps;Ops #15;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P1;Sprint 2;Infra
326;Orchestrierung/DevOps;Ops #16;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P1;Sprint 2;Infra
327;Orchestrierung/DevOps;Ops #17;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P2;Sprint 3;Infra
328;Orchestrierung/DevOps;Ops #18;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P2;Sprint 3;Infra
329;Orchestrierung/DevOps;Ops #19;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P2;Sprint 3;Infra
330;Orchestrierung/DevOps;Ops #20;APScheduler, Idempotenz, Logs, CI;SLA erreicht;TODO;P2;Sprint 3;Infra
331;Backfill/Validation;Backfill #1;20y Backfill, Validierungsreports;Reports ohne Fehler;TODO;P0;Sprint 1;ETL
332;Backfill/Validation;Backfill #2;20y Backfill, Validierungsreports;Reports ohne Fehler;TODO;P0;Sprint 1;ETL
333;Backfill/Validation;Backfill #3;20y Backfill, Validierungsreports;Reports ohne Fehler;TODO;P0;Sprint 1;ETL
334;Backfill/Validation;Backfill #4;20y Backfill, Validierungsreports;Reports ohne Fehler;TODO;P0;Sprint 1;ETL
335;Backfill/Validation;Backfill #5;20y Backfill, Validierungsreports;Reports ohne Fehler;TODO;P0;Sprint 1;ETL
336;Backfill/Validation;Backfill #6;20y Backfill, Validierungsreports;Reports ohne Fehler;TODO;P0;Sprint 1;ETL
337;Backfill/Validation;Backfill #7;20y Backfill, Validierungsreports;Reports ohne Fehler;TODO;P1;Sprint 2;ETL
338;Backfill/Validation;Backfill #8;20y Backfill, Validierungsreports;Reports ohne Fehler;TODO;P1;Sprint 2;ETL
339;Backfill/Validation;Backfill #9;20y Backfill, Validierungsreports;Reports ohne Fehler;TODO;P1;Sprint 2;ETL
340;Backfill/Validation;Backfill #10;20y Backfill, Validierungsreports;Reports ohne Fehler;TODO;P1;Sprint 2;ETL
341;Performance;Perf #1;Caching, DuckDB-Optimierungen, Batching;Benchmarks ok;TODO;P1;Sprint 2;Core
342;Performance;Perf #2;Caching, DuckDB-Optimierungen, Batching;Benchmarks ok;TODO;P1;Sprint 2;Core
343;Performance;Perf #3;Caching, DuckDB-Optimierungen, Batching;Benchmarks ok;TODO;P1;Sprint 2;Core
344;Performance;Perf #4;Caching, DuckDB-Optimierungen, Batching;Benchmarks ok;TODO;P1;Sprint 2;Core
345;Performance;Perf #5;Caching, DuckDB-Optimierungen, Batching;Benchmarks ok;TODO;P2;Sprint 3;Core
346;Performance;Perf #6;Caching, DuckDB-Optimierungen, Batching;Benchmarks ok;TODO;P2;Sprint 3;Core
347;Performance;Perf #7;Caching, DuckDB-Optimierungen, Batching;Benchmarks ok;TODO;P2;Sprint 3;Core
348;Performance;Perf #8;Caching, DuckDB-Optimierungen, Batching;Benchmarks ok;TODO;P2;Sprint 3;Core
349;Performance;Perf #9;Caching, DuckDB-Optimierungen, Batching;Benchmarks ok;TODO;P2;Sprint 3;Core
350;Performance;Perf #10;Caching, DuckDB-Optimierungen, Batching;Benchmarks ok;TODO;P2;Sprint 3;Core
351;Journal/Back-Office;Journal #1;TR-CSV Import, P&L, Steuer-Hilfen;Abgleich Beispiel-CSV;TODO;P1;Sprint 2;UI/Core
352;Journal/Back-Office;Journal #2;TR-CSV Import, P&L, Steuer-Hilfen;Abgleich Beispiel-CSV;TODO;P1;Sprint 2;UI/Core
353;Journal/Back-Office;Journal #3;TR-CSV Import, P&L, Steuer-Hilfen;Abgleich Beispiel-CSV;TODO;P1;Sprint 2;UI/Core
354;Journal/Back-Office;Journal #4;TR-CSV Import, P&L, Steuer-Hilfen;Abgleich Beispiel-CSV;TODO;P1;Sprint 2;UI/Core
355;Journal/Back-Office;Journal #5;TR-CSV Import, P&L, Steuer-Hilfen;Abgleich Beispiel-CSV;TODO;P1;Sprint 2;UI/Core
356;Journal/Back-Office;Journal #6;TR-CSV Import, P&L, Steuer-Hilfen;Abgleich Beispiel-CSV;TODO;P2;Sprint 3;UI/Core
357;Journal/Back-Office;Journal #7;TR-CSV Import, P&L, Steuer-Hilfen;Abgleich Beispiel-CSV;TODO;P2;Sprint 3;UI/Core
358;Journal/Back-Office;Journal #8;TR-CSV Import, P&L, Steuer-Hilfen;Abgleich Beispiel-CSV;TODO;P2;Sprint 3;UI/Core
359;Journal/Back-Office;Journal #9;TR-CSV Import, P&L, Steuer-Hilfen;Abgleich Beispiel-CSV;TODO;P2;Sprint 3;UI/Core
360;Journal/Back-Office;Journal #10;TR-CSV Import, P&L, Steuer-Hilfen;Abgleich Beispiel-CSV;TODO;P2;Sprint 3;UI/Core
